Keywords,SERP Url,04.12.2025 14:59,24.10.2025 10:16,15.07.2025 13:50,19.06.2025 11:33,16.06.2025 16:19,03.03.2025 09:00,08.03.2024 16:56,09.02.2024 10:19,05.07.2023 13:37,05.06.2023 12:59,,02.05.2023 13:59,02.05.2023 13:41,20.04.2023 09:58,13.04.2023 14:16,05.04.2023 09:32,30.03.2023 12:08,23.03.2023 09:31,16.03.2023 10:21,09.03.2023 10:00,23.02.2023 13:20,16.02.2023 12:02,14.02.2023 16:26,09.02.2023 14:33,02.02.2023 11:00,26.01.2023 15:33,11.01.2023 20:22,02.01.2023 16:39,29.12.2022 10:20,22.12.2022 11:58,15.12.2022 09:52,08.12.2022 14:34,29.11.2022 13:48,23.11.2022 10:13,09.10.2022 15:44,04.10.2022 12:59,22.09.2022 11:39,12.09.2022 09:46,07.09.2022 13:27,01.09.2022 14:36,25.08.2022 15:40,15.08.2022 15:48,11.08.2022 14:34,26.07.2022 13:52
can moles bite you,https://got-moles.com/do-moles-bite/,4.0,4.0,6.0,6.0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can moles carry diseases,https://got-moles.com/do-moles-carry-diseases/,6.0,8.0,8.0,8.0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can moles carry rabies,https://got-moles.com/do-moles-carry-diseases/,4.0,4.0,7.0,6.0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can moles get rabies,https://got-moles.com/do-moles-carry-diseases/,5.0,6.0,10.0,8.0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can moles have rabies,https://got-moles.com/do-moles-carry-diseases/,5.0,6.0,11.0,9.0,NA,NA,NA,NA,NA,NA,,>100,49.0,10.0,10.0,10.0,4.0,11.0,10.0,10.0,19.0,16.0,30.0,20.0,27.0,26.0,23.0,16.0,19.0,18.0,22.0,>100,27.0,41.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
can moles see,https://got-moles.com/how-many-eyes-do-moles-have/,2.0,2.0,2.0,>100,NA,NA,NA,NA,NA,NA,,>100,>100,10.0,6.0,10.0,7.0,10.0,10.0,9.0,22.0,16.0,27.0,24.0,26.0,24.0,22.0,19.0,17.0,23.0,19.0,>100,28.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
can you eat a mole,https://got-moles.com/what-do-moles-eat/,67.0,41.0,12.0,15.0,NA,NA,NA,NA,NA,NA,,10.0,>100,9.0,13.0,10.0,13.0,20.0,19.0,15.0,25.0,33.0,33.0,30.0,29.0,26.0,30.0,27.0,26.0,27.0,26.0,28.0,35.0,55.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
can you eat moles,,>100,37.0,12.0,20.0,NA,NA,NA,NA,NA,NA,,10.0,>100,10.0,15.0,18.0,16.0,19.0,21.0,15.0,24.0,29.0,34.0,30.0,20.0,27.0,31.0,27.0,27.0,31.0,26.0,29.0,35.0,55.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
can you have moles in your eyes,,>100,80.0,>100,>100,NA,NA,NA,NA,NA,NA,,3.0,3.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,4.0,5.0,8.0,6.0,6.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
clyde hill mole control,https://got-moles.com/mole-control/,2.0,2.0,7.0,7.0,7.0,4.0,NA,NA,NA,NA,,3.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,4.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,6.0,8.0,5.0,6.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
clyde hill mole extermination,https://got-moles.com/mole-control/,2.0,2.0,5.0,6.0,NA,NA,NA,NA,NA,NA,,9.0,11.0,10.0,10.0,>100,10.0,19.0,17.0,10.0,16.0,15.0,25.0,26.0,26.0,26.0,25.0,41.0,44.0,48.0,37.0,>100,48.0,45.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
companies that get rid of moles,https://got-moles.com/,3.0,3.0,2.0,3.0,NA,NA,NA,NA,NA,NA,,11.0,15.0,13.0,10.0,10.0,10.0,18.0,16.0,15.0,6.0,24.0,29.0,24.0,20.0,24.0,25.0,41.0,46.0,48.0,36.0,>100,44.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
control graham mole,https://got-moles.com/graham/,1.0,1.0,1.0,1.0,1.0,NA,NA,NA,NA,NA,,7.0,7.0,5.0,5.0,5.0,3.0,3.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,7.0,10.0,9.0,10.0,8.0,8.0,7.0,8.0,8.0,>100,>100,>100,96.0,>100,>100,>100,>100,>100,>100
covington mole control,https://got-moles.com/mole-control-covington/,2.0,1.0,1.0,4.0,4.0,3.0,3.0,>100,>100,>100,,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,8.0,7.0,7.0,9.0,10.0,>100,>100,>100,93.0,>100,>100,>100,>100,>100,>100
covington mole control companies,https://got-moles.com/mole-control-covington/,6.0,1.0,2.0,3.0,3.0,4.0,10.0,>100,>100,>100,,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,9.0,7.0,7.0,7.0,7.0,10.0,7.0,8.0,8.0,13.0,9.0,12.0,9.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
covington mole control in yard,https://got-moles.com/mole-control-covington/,3.0,2.0,1.0,2.0,2.0,1.0,1.0,>100,>100,>100,,6.0,6.0,6.0,7.0,7.0,6.0,6.0,5.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,8.0,8.0,12.0,11.0,9.0,12.0,8.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
covington mole control service,https://got-moles.com/mole-control-covington/,4.0,1.0,1.0,3.0,3.0,4.0,10.0,>100,>100,>100,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,>100,>100,>100,>100,>100,4.0,7.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
covington mole exterminator,https://got-moles.com/mole-control-covington/,3.0,1.0,1.0,3.0,3.0,2.0,4.0,51.0,64.0,27.0,,1.0,1.0,1.0,1.0,>100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,>100,>100,>100,>100,>100,4.0,7.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
covington mole pest removal,https://got-moles.com/mole-control-covington/,3.0,1.0,1.0,3.0,3.0,2.0,4.0,17.0,>100,>100,,>100,>100,>100,>100,>100,>100,9.0,10.0,12.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,44.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
covington mole problem,https://got-moles.com/mole-control-covington/,3.0,1.0,1.0,1.0,1.0,1.0,1.0,>100,>100,>100,,>100,>100,>100,>100,>100,>100,49.0,59.0,62.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,50.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
covington mole removal service,https://got-moles.com/mole-control-covington/,3.0,1.0,1.0,3.0,3.0,2.0,3.0,>100,>100,>100,,2.0,2.0,84.0,>100,>100,70.0,58.0,49.0,53.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,16.0,>100,18.0,2.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
covington mole service,https://got-moles.com/mole-control-covington/,3.0,1.0,1.0,3.0,3.0,2.0,3.0,>100,>100,>100,,2.0,2.0,>100,>100,>100,>100,>100,>100,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,>100,1.0,2.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
covington moles in yard,https://got-moles.com/mole-control-covington/,3.0,1.0,1.0,1.0,1.0,1.0,1.0,>100,>100,>100,,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,1.0,4.0,3.0,5.0,6.0,5.0,1.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
covington pest control mole removal,https://got-moles.com/,3.0,1.0,2.0,2.0,2.0,3.0,4.0,12.0,>100,>100,,1.0,1.0,1.0,2.0,3.0,2.0,2.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1.0,3.0,5.0,5.0,5.0,4.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
covington yard mole removal,https://got-moles.com/mole-control-covington/,2.0,1.0,2.0,2.0,2.0,1.0,2.0,>100,>100,>100,,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,22.0,22.0,24.0,20.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
des moines mole control,https://got-moles.com/mole-control-des-moines/,2.0,6.0,8.0,8.0,10.0,>100,9.0,8.0,>100,>100,,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,24.0,>100,19.0,21.0,23.0,19.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
des moines mole control companies,https://got-moles.com/mole-control-des-moines/,8.0,7.0,9.0,9.0,9.0,10.0,>100,>100,>100,>100,,3.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,3.0,3.0,5.0,5.0,8.0,8.0,10.0,5.0,6.0,6.0,6.0,5.0,7.0,4.0,31.0,>100,>100,17.0,>100,>100,>100,>100,>100,>100
des moines mole control in yard,https://got-moles.com/mole-control-des-moines/,5.0,8.0,9.0,9.0,10.0,10.0,7.0,7.0,>100,>100,,4.0,4.0,5.0,5.0,7.0,9.0,7.0,5.0,3.0,5.0,5.0,6.0,4.0,8.0,11.0,8.0,5.0,6.0,6.0,10.0,5.0,5.0,5.0,35.0,40.0,>100,21.0,>100,>100,>100,>100,>100,>100
des moines mole control service,https://got-moles.com/mole-control-des-moines/,4.0,4.0,9.0,4.0,8.0,10.0,9.0,7.0,>100,>100,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,>100,>100,>100,>100,>100,>100,>100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
des moines mole exterminator,https://got-moles.com/mole-control-des-moines/,3.0,2.0,6.0,8.0,9.0,9.0,7.0,7.0,22.0,>100,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,>100,>100,>100,>100,>100,>100,>100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
des moines mole pest removal,https://got-moles.com/des-moines/,6.0,5.0,6.0,7.0,10.0,9.0,8.0,7.0,>100,>100,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,12.0,13.0,12.0,14.0,12.0,12.0,11.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
des moines mole problem,https://got-moles.com/mole-control-des-moines/,2.0,2.0,5.0,7.0,6.0,8.0,29.0,5.0,>100,19.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,12.0,13.0,14.0,13.0,12.0,>100,11.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
des moines mole removal service,https://got-moles.com/mole-control-des-moines/,7.0,3.0,10.0,3.0,4.0,7.0,9.0,9.0,41.0,28.0,,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,46.0,43.0,51.0,54.0,54.0,55.0,56.0,58.0,54.0,53.0,54.0,>100,56.0,59.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
des moines mole service,https://got-moles.com/mole-control-des-moines/,3.0,4.0,5.0,5.0,6.0,6.0,6.0,8.0,>100,25.0,,5.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,43.0,44.0,48.0,54.0,57.0,52.0,58.0,54.0,55.0,57.0,59.0,>100,60.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
des moines moles in yard,https://got-moles.com/des-moines/,7.0,5.0,11.0,11.0,12.0,13.0,>100,7.0,>100,>100,,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,46.0,44.0,45.0,49.0,53.0,47.0,53.0,55.0,55.0,55.0,>100,>100,61.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
des moines pest control mole removal,https://got-moles.com/des-moines/,6.0,3.0,6.0,12.0,9.0,9.0,7.0,7.0,>100,>100,,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,48.0,43.0,45.0,47.0,53.0,47.0,51.0,53.0,54.0,56.0,54.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
des moines yard mole removal,https://got-moles.com/mole-control-des-moines/,7.0,2.0,6.0,9.0,9.0,9.0,7.0,7.0,>100,>100,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,13.0,15.0,15.0,15.0,17.0,13.0,16.0,71.0,13.0,17.0,13.0,22.0,17.0,15.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
difference between a mole and vole,https://got-moles.com/voles-vs-moles-whats-the-difference/,49.0,45.0,56.0,85.0,NA,NA,NA,NA,NA,NA,,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,14.0,13.0,13.0,17.0,16.0,14.0,16.0,71.0,68.0,48.0,13.0,16.0,16.0,14.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
difference between moles and voles,https://got-moles.com/voles-vs-moles-whats-the-difference/,56.0,47.0,62.0,70.0,NA,NA,NA,NA,NA,NA,,7.0,7.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,53.0,54.0,55.0,62.0,59.0,49.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
difference between vole and mole,https://got-moles.com/voles-vs-moles-whats-the-difference/,44.0,44.0,50.0,78.0,NA,NA,NA,NA,NA,NA,,>100,7.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,41.0,50.0,54.0,57.0,61.0,54.0,>100,>100,>100,72.0,71.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
difference between voles and moles,https://got-moles.com/voles-vs-moles-whats-the-difference/,69.0,80.0,60.0,>100,NA,NA,NA,NA,NA,NA,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,11.0,11.0,11.0,10.0,9.0,9.0,9.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
do baby moles bite,https://got-moles.com/do-moles-bite/,14.0,18.0,37.0,43.0,NA,NA,NA,NA,NA,NA,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,11.0,11.0,10.0,9.0,9.0,8.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
do blind moles have eyes,,>100,20.0,14.0,19.0,NA,NA,NA,NA,NA,NA,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,17.0,17.0,18.0,17.0,13.0,22.0,13.0,17.0,11.0,12.0,15.0,15.0,13.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
does a mole have eyes,https://got-moles.com/how-many-eyes-do-moles-have/,3.0,4.0,4.0,5.0,NA,NA,NA,NA,NA,NA,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,17.0,18.0,20.0,16.0,13.0,22.0,13.0,14.0,12.0,12.0,16.0,16.0,13.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
does apple cider vinegar get rid of moles,https://got-moles.com/how-to-get-rid-of-ground-moles-with-vinegar/,11.0,13.0,>100,13.0,NA,NA,NA,NA,NA,NA,,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,13.0,15.0,15.0,14.0,14.0,13.0,21.0,23.0,20.0,19.0,17.0,21.0,18.0,20.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
does mole have eyes,https://got-moles.com/how-many-eyes-do-moles-have/,4.0,3.0,5.0,5.0,NA,NA,NA,NA,NA,NA,,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,13.0,15.0,13.0,14.0,13.0,14.0,21.0,24.0,21.0,18.0,16.0,22.0,18.0,17.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
does moles have eyes,https://got-moles.com/how-many-eyes-do-moles-have/,4.0,4.0,5.0,6.0,NA,NA,NA,NA,NA,NA,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,9.0,8.0,9.0,8.0,8.0,9.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,11.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
does vinegar get rid of moles,https://got-moles.com/how-to-get-rid-of-ground-moles-with-vinegar/,14.0,7.0,11.0,15.0,NA,NA,NA,NA,NA,NA,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,8.0,8.0,9.0,8.0,9.0,9.0,11.0,11.0,11.0,11.0,11.0,12.0,13.0,12.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
does vinegar kill moles,https://got-moles.com/how-to-get-rid-of-ground-moles-with-vinegar/,10.0,9.0,10.0,15.0,NA,NA,NA,NA,NA,NA,,2.0,2.0,4.0,5.0,5.0,5.0,6.0,5.0,8.0,19.0,22.0,21.0,22.0,23.0,22.0,20.0,21.0,21.0,22.0,24.0,22.0,22.0,21.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
does vinegar repel moles,https://got-moles.com/how-to-get-rid-of-ground-moles-with-vinegar/,8.0,11.0,8.0,12.0,NA,NA,NA,NA,NA,NA,,3.0,3.0,6.0,7.0,5.0,6.0,5.0,7.0,7.0,19.0,22.0,21.0,24.0,25.0,22.0,20.0,21.0,22.0,22.0,23.0,22.0,21.0,21.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
do golden moles have eyes,https://got-moles.com/how-many-eyes-do-moles-have/,34.0,33.0,22.0,21.0,NA,NA,NA,NA,NA,NA,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,13.0,12.0,10.0,12.0,10.0,16.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
do ground moles bite,https://got-moles.com/do-moles-bite/,10.0,7.0,8.0,10.0,NA,NA,NA,NA,NA,NA,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,13.0,12.0,10.0,12.0,10.0,15.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
do ground moles hibernate,https://got-moles.com/do-moles-hibernate/,16.0,15.0,15.0,16.0,NA,NA,NA,NA,NA,NA,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,24.0,20.0,22.0,22.0,16.0,14.0,39.0,37.0,38.0,27.0,26.0,27.0,21.0,21.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
do i have moles or voles,https://got-moles.com/voles-vs-moles-whats-the-difference/,90.0,>100,50.0,59.0,NA,NA,NA,NA,NA,NA,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,24.0,17.0,17.0,21.0,21.0,20.0,36.0,32.0,34.0,24.0,25.0,26.0,19.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
do mole have eyes,https://got-moles.com/how-many-eyes-do-moles-have/,4.0,4.0,5.0,7.0,NA,NA,NA,NA,NA,NA,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,7.0,6.0,4.0,4.0,7.0,7.0,6.0,8.0,10.0,11.0,9.0,9.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
do mole rats bite,https://got-moles.com/do-moles-bite/,70.0,42.0,>100,>100,NA,NA,NA,NA,NA,NA,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,7.0,6.0,4.0,5.0,6.0,7.0,5.0,5.0,8.0,11.0,12.0,10.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
do moles attack humans,https://got-moles.com/do-moles-bite/,3.0,4.0,7.0,6.0,NA,NA,NA,NA,NA,NA,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,9.0,8.0,10.0,7.0,8.0,7.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
do moles bite,https://got-moles.com/do-moles-bite/,3.0,5.0,10.0,12.0,11.0,18.0,NA,NA,NA,NA,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,9.0,9.0,9.0,>100,9.0,8.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
do moles bite dogs,https://got-moles.com/do-moles-carry-diseases/,11.0,11.0,12.0,12.0,NA,NA,NA,NA,NA,NA,,5.0,5.0,5.0,7.0,7.0,6.0,6.0,8.0,7.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
do moles bite humans,https://got-moles.com/do-moles-bite/,3.0,4.0,6.0,7.0,NA,NA,NA,NA,NA,NA,,5.0,5.0,5.0,8.0,8.0,7.0,7.0,8.0,7.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
do moles carry disease,https://got-moles.com/do-moles-carry-diseases/,4.0,8.0,8.0,7.0,NA,NA,NA,NA,NA,NA,,5.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,14.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,16.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
do moles carry diseases,https://got-moles.com/do-moles-carry-diseases/,5.0,10.0,10.0,7.0,8.0,14.0,NA,NA,NA,NA,,1.0,1.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,17.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,15.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
do moles carry diseases for dogs,https://got-moles.com/do-moles-carry-diseases/,3.0,4.0,4.0,4.0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
do moles carry diseases / rabies,https://got-moles.com/do-moles-carry-diseases/,3.0,4.0,7.0,7.0,7.0,7.0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
do moles carry diseases to dogs,https://got-moles.com/do-moles-carry-diseases/,3.0,4.0,4.0,4.0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
do moles carry rabies,https://got-moles.com/do-moles-carry-diseases/,9.0,4.0,7.0,5.0,5.0,17.0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
do moles come out at night,https://got-moles.com/are-moles-nocturnal/,12.0,6.0,24.0,22.0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
do moles come out of the ground at night,https://got-moles.com/are-moles-nocturnal/,47.0,11.0,42.0,45.0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
do moles die in the winter,https://got-moles.com/do-moles-hibernate/,27.0,35.0,23.0,23.0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
do moles eat,https://got-moles.com/what-do-moles-eat/,19.0,27.0,12.0,22.0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
do moles eat ants,https://got-moles.com/what-do-moles-eat/,2.0,2.0,3.0,4.0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
do moles eat dirt,https://got-moles.com/what-do-moles-eat/,25.0,12.0,36.0,44.0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
do moles eat earthworms,https://got-moles.com/what-do-moles-eat/,15.0,45.0,19.0,14.0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
do moles eat frogs,https://got-moles.com/what-do-moles-eat/,24.0,27.0,21.0,>100,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
do moles eat fruit,https://got-moles.com/what-do-moles-eat/,37.0,29.0,40.0,29.0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
